date,time,ng,nf,sg,sf,remarks
1,,,,,,C
2,13:45,3,23,0,0,
3,,,,,,C
4,12:30,3,40,0,0,
5,15:10,2,30,0,0,
6,12:45,2,43,0,0,
7,,,,,,M
8,,,,,,R
9,,,,,,M
10,13:20,4,23,0,0,
11,,,,,,C
12,12:45,3,20,1,11,
13,13:05,4,15,2,10,
14,12:40,2,6,2,10,
15,,,,,,M
16,,,,,,C
17,13:10,3,16,2,8,
18,13:15,4,14,2,7,
19,,,,,,C
20,15:25,5,15,1,10,
21,12:45,4,15,2,7,
22,,,,,,M
23,13:45,3,24,1,2,
24,12:55,5,37,1,3,
25,12:30,4,37,0,0,
26,12:55,5,54,0,0,
27,13:05,4,35,0,0,
28,12:45,5,26,0,0,
29,12:50,5,30,0,0,
30,12:50,5,40,0,0,
31,12:00,5,40,0,0,
