date,time,ng,nf,sg,sf,remarks
1,0:14,5,25,7,57,
2,,,,,,M
3,1:24,4,20,9,79,
4,0:51,5,24,7,75,
5,,,,,,C
6,,,,,,M
7,3:02,6,11,5,72,
8,2:50,2,9,5,55,
9,,,,,,R
10,,,,,,R
11,,,,,,C
12,1:12,7,115,7,110,naked eye=1b
13,,,,,,M
14,0:25,6,124,7,87,naked eye=1a
15,,,,,,C
16,,,,,,R
17,,,,,,M
18,,,,,,C
19,,,,,,R
20,1:30,6,74,11,60,
21,2:10,7,45,7,48,
22,,,,,,C
23,,,,,,R
24,,,,,,R
25,1:40,8,63,5,71,naked eye=1c
26,1:42,9,78,5,79,naked eye=1c
27,,,,,,C
28,,,,,,R
29,,,,,,M
30,,,,,,M
