date,time,ng,nf,sg,sf,remarks
1,,,,,,M
2,,,,,,C
3,0:32,10,73,3,22,
4,0:09,9,76,2,24,
5,2:50,7,64,2,26,
6,0:10,7,83,2,25,
7,,,,,,C
8,0:28,6,102,4,21,
9,3:38,6,84,1,5,
10,4:18,9,105,2,7,
11,0:08,7,97,3,15,
12,2:40,7,81,4,11,
13,3:45,7,97,3,8,
14,,,,,,C
15,,,,,,C
16,1:44,7,85,4,16,
17,3:04,4,60,5,14,
18,0:10,3,66,6,20,
19,1:38,4,80,8,37,
20,0:22,6,92,10,36,
21,0:08,4,96,9,43,
22,0:38,8,107,7,42,
23,0:41,11,125,9,40,
24,1:28,12,149,9,44,
25,,,,,,R
26,,,,,,R
27,,,,,,C
28,,,,,,R
29,,,,,,R
30,,,,,,M
