date,time,ng,nf,sg,sf,remarks
1,1:22,2,9,0,0,17
2,2:42,2,11,0,0,20
3,,,,,,R
4,,,,,,R
5,1:32,2,8,0,0,17
6,1:07,2,3,0,0,10
7,6:03,1,2,0,0,9
8,4:02,1,2,0,0,9
9,,,,,,R
10,6:14,1,2,1,11,22
11,3:52,0,0,1,22,24
12,,,,,,C
13,2:02,0,0,2,16,12
14,4:10,0,0,1,5,10
15,1:13,0,0,1,3,16
16,3:49,0,0,1,1,14
17,1:54,0,0,1,3,8
18,0:03,0,0,1,3,8
19,0:22,1,1,1,1,7
20,,,,,,C
21,1:56,0,0,0,0,0
22,5:17,0,0,0,0,0
23,2:30,0,0,0,0,7
24,0:48,0,0,0,0,7
25,0:03,1,2,0,0,16
26,,,,,,C
27,,,,,,C
28,,,,,,R
29,1:39,1,2,1,2,25
30,4:09,2,3,1,2,31
