date,time,ng,nf,sg,sf,remarks
1,,,,,,R
2,3:26,3,29,3,36,
3,,,,,,C-R
4,2:21,2,17,2,45,
5,,,,,,C
6,,,,,,R
7,,,,,,R-C
8,2:53,2,9,3,55,
9,2:29,1,2,4,72,
10,2:43,0,0,3,63,
11,2:58,0,0,3,60,
12,,,,,,R
13,,,,,,C
14,,,,,,C
15,2:50,1,5,4,62,
16,2:42,1,5,5,33,
17,2:09,1,2,6,26,
18,2:20,0,0,4,18,
19,2:22,0,0,3,10,
20,,,,,,C
21,,,,,,C-R
22,,,,,,C
23,3:20,1,2,2,8,
24,,,,,,C
25,,,,,,C
26,2:35,2,7,4,14,
27,3:00,2,10,5,18,
28,0:39,2,4,4,24,
29,4:55,1,2,4,29,
30,3:40,2,5,4,35,
31,2:31,2,10,6,38,
