date,time,ng,nf,sg,sf,remarks
1,4:24,0,0,0,0,0
2,1:30,0,0,0,0,0
3,1:40,0,0,1,2,7
4,0:49,0,0,1,5,18
5,0:50,1,2,1,8,22
6,,,,,,C
7,3:24,1,9,2,14,30
8,2:10,1,11,2,8,30
9,0:34,1,16,1,1,30
10,0:50,1,14,0,0,22
11,2:27,1,17,2,2,30
12,1:23,1,11,2,2,24
13,1:41,2,11,0,0,20
14,,,,,,R
15,,,,,,R
16,5:25,1,9,1,9,30
17,3:10,1,9,1,16,32
18,0:56,1,10,1,12,37 肉眼黒点=
19,,,,,,R
20,2:58,1,12,1,26,36 肉眼黒点=
21,1:38,1,4,1,18,36 肉眼黒点=
22,0:58,1,2,1,19,26 肉眼黒点=
23,,,,,,C
24,2:33,0,0,1,5,10
25,1:34,0,0,1,3,8
26,1:24,0,0,1,2,7
27,,,,,,R
28,3:44,0,0,0,0,0
29,3:42,0,0,0,0,0
30,1:42,0,0,0,0,0
