date,time,ng,nf,sg,sf,remarks
1,2:20,4,52,2,23,
2,4:20,5,35,2,9,
3,,,,,,M
4,,,,,,C
5,4:33,5,30,1,2,
6,6:10,5,34,0,0,
7,,,,,,C
8,3:54,5,23,3,23,
9,3:10,4,22,3,22,
10,3:37,4,22,2,21,
11,5:39,4,31,3,25,
12,,,,,,M
13,4:00,5,60,1,32,
14,,,,,,M
15,,,,,,R
16,,,,,,C
17,,,,,,M
18,3:10,5,61,3,12,
19,2:34,6,51,2,11,
20,,,,,,C
21,,,,,,R
22,,,,,,R
23,2:13,3,9,3,16,
24,,,,,,C
25,3:30,2,4,2,12,
26,4:36,2,4,2,7,
27,4:16,2,6,1,2,
28,4:30,3,7,2,4,
29,2:56,4,12,3,7,
30,3:38,5,16,3,7,
