date,time,ng,nf,sg,sf,remarks
1,1:26,0,0,0,0,
2,2:52,0,0,0,0,
3,2:23,0,0,0,0,
4,5:10,0,0,0,0,
5,3:02,0,0,0,0,
6,3:40,0,0,0,0,
7,,,,,,M
8,1:17,0,0,0,0,
9,1:40,0,0,0,0,
10,1:31,1,6,1,1,
11,1:58,1,8,1,2,
12,3:32,1,2,1,2,
13,1:09,1,6,1,3,
14,,,,,,C
15,,,,,,R
16,3:05,0,0,0,0,
17,2:22,0,0,0,0,
18,,,,,,C
19,2:38,0,0,0,0,
20,1:38,0,0,0,0,
21,0:50,0,0,0,0,
22,3:15,0,0,1,8,
23,1:55,0,0,1,10,
24,2:00,0,0,1,5,
25,,,,,,C
26,3:12,0,0,0,0,
27,2:30,0,0,1,1,
28,4:50,0,0,0,0,
29,2:05,0,0,0,0,
30,3:57,0,0,0,0,
31,,,,,,R
