date,time,ng,nf,sg,sf,remarks
1,3:51,4,50,1,47,
2,3:31,3,40,1,57,
3,3:19,5,24,2,55,
4,6:31,3,8,1,50,
5,3:56,4,20,2,67,
6,,,,,,C
7,,,,,,R
8,2:32,5,64,5,59,
9,4:12,6,69,5,41,
10,2:54,6,76,3,18,
11,5:46,7,75,3,11,
12,4:24,4,58,3,24,
13,6:05,4,46,4,23,
14,3:00,4,41,4,20,
15,,,,,,C-R
16,3:40,2,14,6,20,
17,,,,,,M
18,1:42,2,11,4,14,
19,1:24,4,25,4,35,
20,4:05,5,40,5,49,
21,,,,,,C
22,,,,,,R
23,,,,,,M
24,5:30,4,38,3,18,
25,,,,,,C
26,,,,,,C
27,,,,,,R
28,,,,,,C
29,,,,,,C
30,,,,,,C
