date,time,ng,nf,sg,sf,remarks
1,2:29,7,82,4,68,
2,3:24,6,87,5,84,
3,1:44,4,86,5,63,
4,2:45,5,86,5,66,
5,3:20,5,73,6,40,
6,4:30,4,57,4,21,
7,2:34,4,52,3,24,
8,1:51,7,49,3,37,
9,2:34,5,14,3,39,
10,3:17,1,3,3,40,
11,4:25,0,0,2,48,
12,,,,,,C
13,4:00,1,4,2,30,
14,,,,,,R
15,,,,,,C
16,,,,,,M
17,2:13,1,8,3,8,
18,3:29,2,18,1,5,
19,7:10,2,24,1,2,
20,5:30,2,18,2,8,
21,2:34,2,17,2,18,
22,5:10,1,19,2,44,
23,3:15,1,19,2,60,
24,3:21,1,11,2,64,
25,2:34,6,23,2,69,
26,2:40,6,16,3,79,
27,6:58,4,23,3,84,
28,4:40,5,40,3,93,
29,2:03,5,71,4,98,
30,3:54,5,63,4,83,
31,2:30,4,67,3,43,
