date,time,ng,nf,sg,sf,remarks
1,11:30,7,47,7,23,
2,13:30,7,28,5,19,
3,13:30,6,37,6,14,
4,,,,,,M
5,,,,,,C
6,13:00,4,29,6,57,
7,,,,,,S
8,15:15,3,27,6,85,
9,,,,,,M
10,12:10,5,26,7,77,
11,14:50,3,23,6,66,
12,14:30,3,23,8,98,
13,,,,,,M
14,12:00,2,7,7,66,
15,,,,,,S
16,14:10,3,27,5,41,
17,,,,,,S
18,14:30,2,32,4,17,
19,12:30,2,34,5,16,
20,,,,,,M
21,13:00,4,52,5,18,
22,,,,,,M
23,13:00,6,71,5,26,
24,14:00,6,84,4,22,
25,14:50,6,79,5,65,
26,13:30,5,50,4,62,
27,15:00,4,48,5,67,
28,14:00,5,41,5,45,
29,14:30,6,41,3,27,
30,,,,,,M
31,10:40,5,68,3,20,
