date,time,ng,nf,sg,sf,remarks
1,2:58,3,51,6,70,
2,,,,,,C
3,,,,,,S
4,2:39,6,34,7,127,
5,,,,,,C
6,4:35,6,29,8,75,
7,3:42,4,32,6,52,
8,2:46,7,29,6,23,
9,4:02,9,30,3,30,
10,3:40,4,23,4,46,
11,4:50,4,29,6,62,
12,,,,,,M
13,,,,,,M
14,3:25,3,63,5,25,
15,2:40,4,61,6,23,
16,3:05,3,42,4,26,
17,,,,,,M
18,,,,,,M
19,3:19,3,10,3,58,
20,3:48,4,13,4,54,
21,3:36,4,7,6,58,
22,3:05,3,10,6,58,
23,3:31,1,8,6,51,
24,4:00,3,18,6,41,
25,3:10,3,26,6,62,
26,2:58,4,31,8,70,
27,3:00,4,40,6,49,
28,,,,,,R-C
