date,time,ng,nf,sg,sf,remarks
1,3:28,0,0,3,24,
2,3:34,0,0,3,15,
3,,,,,,C
4,,,,,,C-R
5,,,,,,C
6,1:52,1,6,2,10,
7,2:00,1,14,3,8,
8,2:52,1,17,2,20,
9,3:10,1,9,2,13,
10,1:42,2,20,2,14,
11,,,,,,M
12,2:30,2,23,2,7,
13,3:16,3,18,3,10,
14,1:49,3,20,3,18,
15,,,,,,C
16,4:12,1,4,4,38,
17,3:13,1,3,2,34,
18,2:10,0,0,3,35,
19,2:19,0,0,3,41,
20,2:39,0,0,3,41,
21,,,,,,C
22,,,,,,C
23,5:34,0,0,2,24,
24,0:50,0,0,3,17,
25,1:29,0,0,2,11,
26,0:50,0,0,3,12,
27,1:27,1,9,3,11,
28,4:08,1,16,3,11,
29,0:34,3,13,2,8,
30,1:07,3,13,2,3,
31,0:46,4,19,2,3,
