date,time,ng,nf,sg,sf,remarks
1,12:00,3,28,3,21,
2,11:45,4,38,3,22,
3,,,,,,M
4,,,,,,M
5,,,,,,C
6,13:00,6,49,5,26,
7,12:15,5,31,5,14,
8,,,,,,R
9,,,,,,M
10,10:00,6,21,4,23,
11,12:00,4,20,4,11,
12,10:00,4,23,4,11,
13,12:00,3,16,6,21,
14,12:00,3,33,6,22,萬夫氏代理
15,,,,,,M
16,16:00,6,54,8,38,
17,14:00,5,42,6,56,
18,,,,,,M
19,16:00,6,70,3,32,
20,10:30,6,52,4,21,
21,,,,,,M
22,9:30,4,56,4,11,
23,7:30,3,,3,,M
24,16:00,2,38,4,9,
25,14:30,4,33,4,16,
26,13:30,4,53,5,31,
27,16:30,4,,4,,M
28,,,,,,M
29,14:00,5,97,4,43,
30,15:30,5,124,5,77,
31,11:45,5,123,5,49,
