date,time,ng,nf,sg,sf,remarks
1,,,,,,R
2,2:46,1,17,4,23,
3,,,,,,M
4,,,,,,M
5,3:30,2,37,2,11,
6,2:50,3,27,2,12,
7,,,,,,R
8,2:27,4,28,4,19,
9,4:41,6,27,3,37,
10,3:10,4,19,4,39,
11,3:24,4,26,4,24,
12,3:50,3,29,2,20,
13,2:54,3,25,1,9,
14,2:29,2,28,2,18,
15,,,,,,S-R
16,2:52,2,23,2,39,
17,,,,,,C
18,3:44,1,13,3,29,
19,2:49,1,11,2,38,
20,4:09,1,3,2,22,
21,,,,,,M
22,,,,,,C
23,4:40,1,2,2,8,
24,4:57,2,10,1,6,
25,,,,,,R
26,3:00,4,39,2,10,
27,3:04,3,62,3,16,
28,2:02,4,67,3,19,
29,4:30,4,69,4,54,
30,2:36,4,61,5,51,
31,2:52,4,50,5,57,
