date,time,ng,nf,sg,sf,remarks
1,2:15,0,0,1,8,
2,2:10,0,0,1,8,
3,3:51,0,0,1,15,
4,1:22,0,0,1,17,
5,2:39,0,0,3,17,
6,1:40,1,2,2,12,
7,4:35,1,2,2,18,
8,,,,,,R
9,2:32,1,1,2,10,
10,2:46,1,2,1,8,
11,,,,,,R-C
12,1:02,0,0,0,0,
13,,,,,,C-R
14,2:46,1,26,0,0,
15,4:05,1,31,0,0,
16,4:00,1,44,0,0,
17,4:50,1,45,0,0,
18,0:50,1,43,0,0,
19,2:18,2,45,0,0,
20,,,,,,R
21,,,,,,R
22,2:39,3,46,1,1,
23,,,,,,M
24,2:02,3,43,0,0,
25,3:22,2,38,0,0,
26,,,,,,M
27,,,,,,C
28,,,,,,C
29,4:20,2,7,2,13,
30,2:00,1,10,3,22,
