date,time,ng,nf,sg,sf,remarks
1,,,,,,C
2,3:10,3,11,1,7,
3,2:50,1,4,1,11,
4,3:10,0,0,1,10,
5,3:30,0,0,1,8,
6,3:10,0,0,1,8,
7,3:05,0,0,1,10,
8,3:10,0,0,1,4,
9,,,,,,C
10,2:30,0,0,0,0,
11,2:15,0,0,0,0,
12,2:45,1,2,0,0,
13,,,,,,R
14,,,,,,C
15,3:45,1,2,0,0,
16,5:05,0,0,0,0,
17,,,,,,C
18,3:50,0,0,0,0,
19,3:45,1,4,0,0,
20,5:10,0,0,0,0,
21,2:50,0,0,1,5,
22,,,,,,C
23,4:25,0,0,0,0,
24,2:10,0,0,0,0,
25,5:00,0,0,0,0,
26,,,,,,C
27,,,,,,R
28,2:20,0,0,0,0,
29,3:50,0,0,0,0,
30,4:15,0,0,0,0,
31,2:40,0,0,0,0,
