date,time,ng,nf,sg,sf,remarks
1,13:45,1,3,3,4,
2,13:30,2,9,2,2,
3,12:50,2,15,2,2,
4,,,,,,S
5,10:50,1,9,2,2,
6,11:15,1,7,1,1,
7,9:20,1,9,1,1,
8,9:10,1,9,1,1,
9,,,,,,S
10,,,,,,C
11,,,,,,M
12,12:00,1,12,2,3,
13,11:00,1,37,3,8,
14,10:20,1,51,3,15,
15,13:30,1,63,4,19,
16,13:30,1,78,4,34,
17,13:35,1,90,3,52,
18,14:00,1,107,3,55,
19,15:20,2,124,3,33,
20,,,,,,C
21,11:25,2,130,4,20,
22,11:50,2,95,4,36,
23,10:40,2,99,4,24,
24,,,,,,
25,9:00,2,38,5,13,
26,,,,,,
27,13:10,2,26,6,14,
