date,time,ng,nf,sg,sf,remarks
1,11:05,3,22,5,34,
2,12:55,3,16,4,25,
3,13:30,3,29,6,36,
4,12:55,2,17,5,23,
5,11:50,2,14,4,27,
6,12:25,2,17,4,28,
7,12:50,3,13,2,25,
8,11:48,3,11,2,25,
9,12:55,3,13,3,28,
10,,,,,,C-R
11,,,,,,R
12,,,,,,C
13,,,,,,M
14,12:25,4,21,1,7,
15,12:45,5,31,2,13,
16,12:33,4,21,3,11,
17,,,,,,C
18,,,,,,R
19,11:55,2,7,1,3,
20,11:45,4,9,1,3,
21,11:30,5,16,1,2,
22,,,,,,C-R
23,,,,,,C-R
24,12:30,3,13,1,2,
25,13:05,3,25,2,4,
26,13:00,3,10,2,4,
27,13:08,3,12,2,4,
28,,,,,,R
29,,,,,,C
30,12:55,4,25,2,10,
