date,time,ng,nf,sg,sf,remarks
1,2:27,0,0,1,10,
2,,,,,,C
3,,,,,,S
4,2:12,0,0,1,2,
5,2:28,0,0,0,0,
6,,,,,,C
7,2:46,0,0,0,0,
8,2:27,0,0,0,0,
9,,,,,,C-S
10,2:33,0,0,0,0,
11,3:12,0,0,0,0,
12,,,,,,S-R
13,2:27,0,0,0,0,
14,3:20,0,0,0,0,
15,2:27,0,0,0,0,
16,2:20,0,0,0,0,
17,2:20,0,0,0,0,
18,2:26,0,0,0,0,
19,2:27,0,0,0,0,
20,2:40,0,0,0,0,
21,2:30,0,0,0,0,
22,3:20,0,0,0,0,
23,,,,,,M
24,3:20,0,0,0,0,
25,2:10,0,0,0,0,
26,,,,,,R-S
27,3:30,0,0,1,3,
28,4:25,0,0,0,0,
29,3:00,0,0,0,0,
