date,time,ng,nf,sg,sf,remarks
1,15:30,5,94,4,17,
2,,,,,,C
3,14:50,4,115,6,36,
4,,,,,,C
5,13:00,3,70,11,61,
6,,,,,,C
7,12:30,3,46,9,96,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,10:10,2,4,2,10,
17,13:00,3,5,3,27,
18,11:00,7,17,4,45,
19,11:10,7,42,6,57,
20,14:00,7,53,6,75,
21,,,,,,M
22,11:25,10,42,5,42,
23,,,,,,M
24,13:10,5,56,5,25,
25,12:05,5,68,5,24,
26,14:10,6,67,5,21,
27,10:00,7,50,3,14,
28,13:30,7,18,3,13,
29,,,,,,C
30,,,,,,R
31,12:30,6,22,2,3,
