date,time,ng,nf,sg,sf,remarks
1,2:50,2,4,2,25,
2,,,,,,C
3,2:36,0,0,2,20,
4,2:42,2,8,2,23,
5,2:37,2,3,3,34,
6,2:12,2,13,3,35,
7,2:40,2,13,3,41,
8,5:37,2,16,3,45,
9,2:51,2,18,3,47,
10,,,,,,M
11,,,,,,C
12,2:20,1,16,2,33,
13,4:38,1,14,1,14,
14,2:18,1,8,1,11,
15,,,,,,R-C
16,,,,,,R-C
17,2:31,1,2,3,28,
18,2:51,0,0,2,30,
19,2:21,0,0,2,26,
20,4:07,0,0,2,29,
21,2:39,0,0,2,37,
22,,,,,,R-C
23,2:50,0,0,2,6,
24,5:30,0,0,1,1,
25,0:27,0,0,1,2,
26,2:20,0,0,0,0,
27,,,,,,C
28,,,,,,C
29,,,,,,R
30,2:45,2,9,3,22,
