date,time,ng,nf,sg,sf,remarks
1,1:24,1,1,0,0,
2,1:41,1,6,0,0,
3,,,,,,C-S
4,1:40,1,12,0,0,
5,1:37,1,9,0,0,
6,1:00,1,2,3,6,
7,,,,,,M
8,1:36,0,0,4,14,
9,1:27,0,0,4,21,
10,2:20,0,0,4,15,
11,,,,,,M
12,2:33,0,0,4,17,
13,4:07,0,0,3,26,
14,1:57,0,0,3,35,
15,,,,,,C
16,3:21,0,0,2,19,
17,1:50,0,0,3,22,
18,3:41,0,0,4,17,
19,,,,,,S
20,3:14,0,0,5,27,
21,4:40,1,3,5,35,
22,,,,,,S-C
23,2:54,3,15,2,19,
24,3:48,3,31,1,11,
25,2:30,4,56,2,11,
26,3:58,4,80,1,14,
27,4:35,4,75,1,10,
28,,,,,,C
29,1:32,5,83,1,2,
30,1:55,5,90,0,0,
31,,,,,,S
