date,time,ng,nf,sg,sf,remarks
1,2:24,3,7,4,52,
2,2:15,4,14,4,45,
3,3:25,4,40,3,44,
4,1:50,4,57,3,32,
5,1:51,4,56,3,32,
6,3:18,4,57,7,39,
7,3:21,3,50,9,47,
8,3:54,4,68,7,50,
9,,,,,,C
10,3:46,3,80,7,52,
11,,,,,,R
12,2:16,3,64,9,77,
13,4:01,2,43,9,88,
14,3:32,1,33,8,87,
15,2:55,1,32,9,72,
16,4:16,2,12,8,77,
17,,,,,,S-R
18,1:40,2,9,5,52,
19,3:55,2,8,5,30,
20,1:38,1,4,4,20,
21,3:13,2,7,5,19,
22,,,,,,C
23,,,,,,C
24,1:32,2,8,6,34,
25,4:04,2,23,6,58,
26,,,,,,C
27,,,,,,M
28,3:43,3,14,6,65,
29,1:58,3,9,5,52,
30,,,,,,C
31,2:12,1,4,4,42,
