date,time,ng,nf,sg,sf,remarks
1,2:30,0,0,1,2,
2,2:21,0,0,1,3,
3,,,,,,M
4,7:16,0,0,0,0,
5,2:17,0,0,0,0,
6,2:27,0,0,0,0,
7,2:42,0,0,0,0,
8,4:30,0,0,1,1,
9,3:20,0,0,1,4,
10,4:02,0,0,2,10,
11,4:20,0,0,1,21,
12,2:16,0,0,1,16,
13,4:12,0,0,1,21,
14,2:46,0,0,1,21,
15,2:30,0,0,1,23,
16,3:19,0,0,1,21,
17,2:19,0,0,1,20,
18,5:57,0,0,1,18,
19,2:38,0,0,1,20,
20,3:00,0,0,1,6,
21,,,,,,C
22,3:10,0,0,1,4,
23,2:14,0,0,1,10,
24,2:17,0,0,1,11,
25,2:28,0,0,1,17,
26,2:40,0,0,1,13,
27,3:10,0,0,1,26,
28,,,,,,M
29,3:23,0,0,1,21,
30,6:50,0,0,1,10,
31,,,,,,M
