date,time,ng,nf,sg,sf,remarks
1,,,,,,R
2,,,,,,R
3,,,,,,C
4,1:16,7,73,4,48,
5,0:30,8,56,4,31,
6,3:10,8,50,5,35,
7,3:23,7,36,7,34,
8,3:29,7,29,5,42,
9,3:50,6,21,4,34,
10,,,,,,C
11,3:55,7,15,4,35,
12,3:26,3,8,4,28,
13,,,,,,M
14,4:10,3,15,4,39,
15,,,,,,C-R
16,,,,,,C
17,,,,,,R
18,2:49,6,50,2,49,
19,3:00,7,72,1,52,
20,,,,,,C
21,6:09,6,57,2,37,
22,3:59,6,50,3,44,
23,2:52,5,43,2,35,
24,3:25,4,62,3,23,
25,4:45,4,55,3,9,
26,3:29,7,55,1,5,
27,,,,,,C
28,4:05,5,83,2,10,
29,3:51,6,70,3,34,
30,3:59,8,62,5,43,
