date,time,ng,nf,sg,sf,remarks
1,2:30,1,12,8,65,
2,3:23,2,20,8,25,
3,3:20,3,14,7,35,
4,3:16,3,11,3,21,
5,3:14,2,6,3,19,
6,3:22,1,2,8,28,
7,3:23,2,4,6,37,
8,,,,,,S
9,3:22,1,29,5,31,
10,3:23,2,65,8,43,肉眼黒点＝1
11,3:35,2,72,9,50,肉眼黒点＝1
12,3:23,2,71,8,66,肉眼黒点＝2
13,3:25,2,64,7,69,肉眼黒点＝2
14,3:25,1,43,6,65,
15,,,,,,C
16,3:24,2,18,5,76,肉眼黒点＝1
17,3:24,2,6,6,87,肉眼黒点＝1
18,3:26,3,15,8,101,肉眼黒点＝1
19,3:22,2,10,7,104,肉眼黒点＝1
20,3:25,3,11,6,114,肉眼黒点＝2
21,3:23,4,15,7,67,肉眼黒点＝1
22,6:23,5,37,5,65,肉眼黒点＝1
23,,,,,,C
24,,,,,,C
25,,,,,,C
26,,,,,,R
27,3:25,5,70,5,35,
28,,,,,,S
