date,time,ng,nf,sg,sf,remarks
1,13:00,6,87,2,15,
2,13:00,4,68,1,6,
3,16:05,3,64,1,7,
4,,,,,,C
5,12:10,2,46,2,8,
6,12:20,2,43,2,6,
7,12:20,2,26,1,1,
8,8:10,2,19,1,1,
9,,,,,,C
10,,,,,,C
11,8:25,1,2,1,8,
12,12:05,0,0,1,9,
13,12:00,1,1,1,8,
14,,,,,,M
15,13:00,2,3,2,5,
16,13:30,2,4,2,2,
17,12:50,4,13,3,8,
18,14:55,4,13,2,6,
19,12:15,5,18,2,4,
20,11:55,6,29,2,3,
21,11:55,6,27,1,2,
22,11:50,6,24,0,0,
23,15:05,7,41,1,11,
24,13:05,6,44,1,19,
25,,,,,,R
26,12:25,3,20,1,14,
27,13:00,3,13,1,12,
28,,,,,,R
29,13:15,3,18,2,10,
30,12:40,4,14,2,12,
