date,time,ng,nf,sg,sf,remarks
1,,,,,,C
2,1:28,8,64,2,49,
3,0:18,9,60,4,58,
4,0:25,10,47,3,58,
5,3:07,7,34,3,65,
6,2:22,7,38,5,79,
7,1:54,10,56,5,77,
8,4:14,7,36,4,69,
9,2:07,4,27,4,74,
10,2:02,6,31,3,45,
11,2:35,4,50,3,44,
12,2:57,4,43,4,31,
13,2:30,4,45,4,27,
14,,,,,,M
15,1:10,3,57,7,34,
16,3:34,3,48,5,34,
17,3:41,3,46,5,33,
18,5:04,3,43,4,31,
19,,,,,,S
20,4:32,3,20,6,46,
21,5:38,2,23,5,26,
22,1:53,2,24,5,33,
23,1:21,1,28,4,22,
24,1:38,3,26,4,13,
25,3:56,4,30,6,18,
26,,,,,,C
27,3:14,9,31,5,26,
28,,,,,,M
29,0:48,8,28,9,46,
