date,time,ng,nf,sg,sf,remarks
1,5:04,4,55,2,10,
2,,,,,,M
3,0:18,3,44,4,18,
4,0:02,5,43,3,12,
5,0:08,6,40,4,12,
6,1:27,5,45,3,13,
7,,,,,,C
8,,,,,,R
9,3:26,8,48,5,13,
10,1:50,6,49,5,18,
11,3:47,6,60,5,17,
12,2:40,7,66,5,19,
13,3:30,8,62,4,12,
14,,,,,,M
15,4:06,11,63,6,26,
16,,,,,,C
17,5:01,10,69,6,19,
18,3:20,7,49,6,17,
19,3:58,5,26,5,18,
20,0:06,7,23,4,18,
21,0:29,6,21,5,14,
22,0:02,8,25,6,20,
23,0:07,6,27,6,34,
24,2:30,6,32,5,26,
25,1:32,7,29,5,30,
26,0:03,6,15,8,31,
27,,,,,,R
28,0:57,5,24,5,16,
29,2:00,5,20,5,14,
30,1:59,4,21,4,10,
31,0:18,6,41,2,2,
