date,time,ng,nf,sg,sf,remarks
1,1:43,3,13,4,27,
2,6:00,2,11,5,23,
3,2:04,4,15,7,31,
4,2:15,3,12,7,30,
5,2:37,3,8,6,25,
6,4:00,2,5,4,12,
7,3:12,3,7,5,21,
8,2:47,3,10,4,25,
9,2:26,4,12,6,37,
10,,,,,,M
11,,,,,,M
12,1:59,1,7,4,15,
13,,,,,,C
14,4:30,1,7,1,4,
15,,,,,,C
16,4:30,2,6,0,0,
17,3:12,3,14,0,0,
18,2:50,3,9,0,0,
19,3:30,4,15,1,3,
20,4:31,4,14,2,2,
21,1:53,3,13,2,6,
22,1:59,3,12,1,2,
23,2:29,3,8,2,4,
24,2:24,3,17,2,4,
25,2:39,3,15,2,7,
26,3:50,2,18,2,9,
27,2:17,2,16,3,9,
28,4:51,3,18,1,4,
29,3:30,3,18,1,3,
30,2:40,3,23,2,12,
31,3:21,4,31,4,21,
