date,time,ng,nf,sg,sf,remarks
1,3:27,0,0,3,22,
2,2:36,0,0,3,38,
3,2:41,0,0,3,47,
4,3:05,0,0,3,51,
5,2:55,0,0,3,43,
6,2:39,0,0,2,45,
7,3:46,1,11,2,47,
8,3:31,2,13,1,45,
9,4:40,1,18,1,40,
10,3:00,1,15,1,33,
11,2:49,1,13,1,21,
12,2:15,1,10,1,10,
13,2:21,1,10,2,10,
14,2:50,1,9,3,14,
15,2:42,1,10,2,17,
16,,,,,,M
17,,,,,,R
18,,,,,,M
19,4:23,3,18,3,38,
20,2:33,2,29,2,33,
21,,,,,,M
22,3:49,2,32,2,14,
23,2:50,2,22,2,8,
24,3:05,2,11,2,5,
25,2:16,2,3,2,4,
26,2:50,1,1,1,2,
27,3:03,0,0,0,0,
28,2:15,0,0,1,1,
29,2:16,0,0,1,2,
30,3:09,0,0,3,13,
31,3:01,2,6,3,14,
