date,time,ng,nf,sg,sf,remarks
1,0:45,5,40,4,44,
2,,,,,,M
3,,,,,,C
4,1:30,7,48,4,27,
5,1:05,5,34,2,14,
6,3:07,7,42,2,22,
7,1:45,6,43,4,33,
8,2:00,5,45,5,30,
9,,,,,,R
10,,,,,,R-C
11,1:20,6,15,3,20,
12,,,,,,R-C
13,,,,,,R
14,2:31,6,34,3,14,
15,1:42,3,30,4,8,
16,,,,,,R
17,2:10,3,38,4,17,
18,,,,,,C
19,0:24,5,35,4,29,
20,1:34,6,38,4,43,
21,0:55,6,56,3,51,
22,,,,,,C-R
23,1:30,8,50,6,90,
24,1:32,6,41,5,78,
25,1:02,4,28,4,57,
26,,,,,,M
27,,,,,,M
28,1:02,1,3,5,26,
29,,,,,,C
30,,,,,,C
31,,,,,,C
