date,time,ng,nf,sg,sf,remarks
1,3:39,0,0,1,28,35
2,3:14,0,0,1,15,26
3,,,,,,O
4,,,,,,O
5,,,,,,O
6,0:56,1,3,0,0,10
7,0:20,1,3,0,0,16
8,0:56,1,3,0,0,9
9,0:02,1,2,0,0,8
10,0:05,1,2,0,0,10
11,6:51,1,3,0,0,16
12,,,,,,R
13,0:07,2,4,0,0,23
14,1:44,2,4,1,1,30
15,0:03,1,3,1,1,17
16,0:09,1,7,0,0,12
17,2:02,1,6,0,0,18
18,0:18,0,0,1,1,8
19,4:22,0,0,2,3,20
20,0:09,0,0,3,5,20
21,,,,,,R
22,3:58,0,0,1,4,7
23,,,,,,R
24,0:30,0,0,0,0,8
25,,,,,,R
26,1:34,0,0,0,0,7
27,1:54,0,0,0,0,0
28,1:08,0,0,0,0,0
29,0:24,0,0,0,0,0
30,,,,,,R
31,5:44,0,0,0,0,0
