date,time,ng,nf,sg,sf,remarks
1,,,,,,R
2,1:24,3,7,5,35,
3,2:52,5,29,4,40,
4,4:23,3,30,3,26,
5,2:46,3,43,4,18,
6,2:53,5,64,2,13,
7,,,,,,M
8,,,,,,C
9,6:00,3,62,2,4,
10,,,,,,C
11,3:13,4,61,1,3,
12,2:53,4,24,1,4,
13,3:00,2,10,3,8,
14,3:03,2,10,2,20,
15,3:17,2,9,2,23,
16,,,,,,C
17,3:48,1,2,2,7,
18,5:17,3,9,1,3,
19,2:37,2,5,1,7,
20,,,,,,C
21,,,,,,C
22,,,,,,C
23,3:17,3,85,4,16,肉眼黒点＝1
24,4:50,3,129,6,23,肉眼黒点＝1
25,,,,,,R
26,2:30,4,139,5,17,肉眼黒点＝1
27,3:56,4,106,6,19,肉眼黒点＝1
28,4:18,4,81,5,13,肉眼黒点＝1
29,2:53,5,60,4,9,肉眼黒点＝1
30,3:00,3,41,4,20,
31,1:30,4,30,5,18,
