date,time,ng,nf,sg,sf,remarks
1,,,,,,M
2,2:40,3,9,2,5,
3,4:12,4,13,3,12,
4,1:44,5,28,1,19,
5,,,,,,M
6,,,,,,M
7,3:50,7,30,1,43,
8,4:33,5,16,1,53,
9,2:41,4,34,3,76,
10,4:09,4,37,4,74,
11,,,,,,C
12,,,,,,C
13,,,,,,R
14,3:08,4,40,5,21,
15,,,,,,C
16,5:50,3,27,4,15,
17,,,,,,C
18,6:10,3,15,5,11,
19,5:22,5,24,5,11,
20,3:04,4,31,6,13,
21,2:00,4,37,5,10,
22,3:21,4,38,3,9,
23,3:21,4,52,3,7,
24,1:37,4,48,2,4,
25,1:04,4,45,2,5,
26,4:32,5,37,2,5,
27,,,,,,R
28,1:15,5,62,1,2,
29,,,,,,C
30,,,,,,R
31,,,,,,R
