date,time,ng,nf,sg,sf,remarks
1,1:05,9,46,5,57,
2,,,,,,R
3,,,,,,C
4,,,,,,M
5,,,,,,C
6,,,,,,R
7,1:37,7,18,6,120,
8,,,,,,M
9,0:13,5,29,6,66,
10,2:54,6,40,8,46,
11,2:22,4,52,7,50,
12,3:09,7,64,6,33,
13,1:40,7,69,8,40,
14,1:17,7,68,7,55,
15,1:50,7,57,4,38,
16,0:01,6,39,4,29,
17,3:34,4,17,4,27,
18,3:42,4,5,5,37,
19,3:52,3,14,6,47,
20,3:29,2,18,3,25,
21,3:45,3,13,4,22,
22,3:21,2,13,3,15,
23,,,,,,C
24,2:47,3,9,2,4,
25,,,,,,C
26,,,,,,C
27,,,,,,R
28,3:14,2,37,4,73,
29,1:40,4,43,4,73,
30,4:23,4,54,5,65,
