date,time,ng,nf,sg,sf,remarks
1,2:10,1,12,2,23,
2,,,,,,C
3,8:23,2,15,3,20,
4,1:54,3,14,3,25,
5,,,,,,C
6,3:05,5,23,2,25,
7,3:40,2,12,4,34,
8,3:32,2,11,4,30,
9,,,,,,C
10,,,,,,C
11,5:52,1,2,4,30,
12,3:20,2,11,5,32,
13,,,,,,C
14,,,,,,R
15,4:10,2,9,2,6,
16,4:00,2,12,2,6,
17,2:34,2,29,3,7,
18,3:06,3,17,3,8,
19,,,,,,R
20,1:49,3,21,1,2,
21,,,,,,C-R
22,,,,,,R
23,5:50,3,17,2,4,
24,3:30,2,13,1,3,
25,6:16,3,22,3,8,
26,,,,,,C
27,,,,,,R
28,,,,,,C
29,2:06,4,31,6,29,
30,2:23,3,17,8,29,
