date,time,ng,nf,sg,sf,remarks
1,3:39,5,15,3,41,naked eye=1c
2,2:40,5,10,4,52,naked eye=1c
3,,,,,,C
4,2:53,2,3,4,68,naked eye=1b
5,3:46,2,7,5,65,naked eye=1b
6,4:00,4,16,5,49,naked eye=1b
7,2:15,7,26,5,61,naked eye=1c
8,,,,,,R
9,4:40,6,32,6,38,
10,,,,,,C
11,,,,,,M
12,4:00,3,20,4,15,
13,3:45,5,25,2,12,
14,,,,,,M
15,,,,,,C
16,,,,,,M
17,2:45,5,46,3,44,naked eye=1c
18,2:41,4,43,3,51,naked eye=1c
19,2:51,5,49,3,55,
20,2:46,6,61,3,34,
21,2:34,5,67,5,42,
22,1:44,5,43,7,40,
23,,,,,,C
24,,,,,,C-R
25,2:27,4,17,4,35,naked eye=1c
26,,,,,,C
27,5:00,2,8,5,68,
28,2:19,2,12,4,56,
29,3:50,3,10,3,51,
30,1:42,4,15,3,41,naked eye=1c
