date,time,ng,nf,sg,sf,remarks
1,3:27,6,67,7,96,naked eye=1c
2,1:12,7,60,8,93,naked eye=1c
3,,,,,,C
4,,,,,,S
5,1:45,9,32,13,97,
6,1:54,7,30,14,116,
7,0:25,3,16,13,113,naked eye=1b
8,1:29,5,21,13,124,naked eye=1a
9,3:26,5,19,11,103,naked eye=1a
10,4:56,5,11,10,124,naked eye=1a
11,4:01,2,6,7,108,naked eye=1a
12,2:13,3,7,6,105,naked eye=1b
13,0:14,3,16,6,87,naked eye=1b
14,3:28,4,26,5,74,
15,2:27,4,26,4,49,naked eye=1c
16,3:32,4,30,5,30,naked eye=1a
17,,,,,,S
18,,,,,,M
19,,,,,,R
20,,,,,,R
21,,,,,,M
22,2:50,4,42,3,7,
23,3:24,4,34,3,10,
24,,,,,,C
25,2:48,6,36,5,11,
26,1:08,8,46,6,23,
27,2:08,5,33,8,50,
28,0:19,3,38,8,48,
