date,time,ng,nf,sg,sf,remarks
1,4:50,5,26,2,17,
2,,,,,,R
3,,,,,,R
4,,,,,,R
5,,,,,,R
6,2:32,4,36,2,9,
7,2:56,2,19,2,4,
8,3:02,2,17,1,2,
9,,,,,,M
10,1:52,3,20,2,9,
11,2:42,2,19,2,13,
12,2:44,6,18,3,19,
13,2:27,5,23,3,21,
14,2:34,5,25,4,22,
15,2:47,7,46,3,21,
16,2:50,7,53,3,11,
17,,,,,,C
18,2:27,5,47,1,16,
19,3:24,7,45,1,13,
20,,,,,,R
21,,,,,,R
22,,,,,,C
23,3:28,5,47,0,0,
24,2:45,4,46,1,1,
25,2:50,7,49,1,8,
26,,,,,,C
27,,,,,,M
28,3:54,6,43,0,0,
29,4:01,7,47,0,0,
30,5:10,6,41,0,0,
