date,time,ng,nf,sg,sf,remarks
1,3:56,0,0,0,0,
2,3:10,0,0,0,0,
3,,,,,,C
4,3:09,0,0,0,0,
5,3:40,0,0,0,0,
6,4:14,0,0,0,0,
7,2:45,0,0,1,4,
8,,,,,,C-R
9,,,,,,R
10,4:28,1,6,1,5,
11,4:28,3,14,1,5,
12,2:46,3,12,1,2,
13,,,,,,C-R
14,2:19,2,4,0,0,
15,3:28,2,15,1,2,
16,5:10,2,23,1,1,
17,,,,,,C
18,3:20,3,21,0,0,
19,3:49,3,24,0,0,
20,3:01,3,24,0,0,
21,2:40,3,17,0,0,
22,6:25,2,12,0,0,
23,2:48,2,10,0,0,
24,2:31,1,5,0,0,
25,,,,,,C
26,,,,,,R
27,,,,,,M
28,,,,,,M
29,,,,,,M
30,,,,,,M
31,2:30,0,0,0,0,
