date,time,ng,nf,sg,sf,remarks
1,0:24,5,45,6,28,
2,1:13,4,49,4,21,
3,3:28,5,32,5,23,
4,,,,,,R
5,0:37,2,10,2,20,
6,1:51,2,8,3,15,
7,3:34,1,2,3,6,
8,2:26,2,2,3,8,
9,0:02,2,4,2,3,
10,4:03,2,8,1,1,
11,,,,,,C-R
12,4:34,5,27,1,5,
13,4:28,5,29,2,5,
14,0:08,5,36,1,3,
15,0:04,7,38,0,0,
16,,,,,,R
17,1:25,6,33,1,9,
18,3:28,8,54,1,14,
19,,,,,,C
20,0:00,10,40,2,16,
21,3:54,8,61,4,23,
22,,,,,,R
23,,,,,,R
24,,,,,,C
25,,,,,,R
26,,,,,,M
27,,,,,,R
28,0:44,6,83,2,49,
29,1:49,7,49,2,37,
30,0:02,9,51,3,28,
