date,time,ng,nf,sg,sf,remarks
1,4:32,2,36,2,29,84
2,3:50,3,35,2,28,88
3,3:14,5,45,3,29,102
4,3:00,6,55,2,25,102
5,3:39,6,43,2,15,73
6,1:44,5,29,3,26,69
7,2:38,1,5,2,19,42
8,,,,,,C
9,,,,,,C
10,1:08,2,4,0,0,15
11,1:17,1,7,0,0,18
12,1:14,1,14,1,1,26
13,1:38,1,20,3,5,26
14,2:49,1,16,1,4,36
15,2:45,1,10,3,8,30
16,3:39,1,6,2,5,23
17,2:17,1,3,1,7,24
18,,,,,,C
19,3:21,0,0,1,1,8
20,1:14,0,0,1,3,7
21,4:28,2,3,1,2,20
22,3:43,1,2,1,11,30
23,3:11,2,4,2,14,43
24,,,,,,C
25,1:39,2,25,1,2,32
26,,,,,,C
27,2:07,3,24,3,17,69
28,,,,,,C
29,5:26,5,28,3,31,90
30,,,,,,C
31,0:24,6,38,4,48,118
