date,time,ng,nf,sg,sf,remarks
1,11:55,2,7,5,51,
2,14:05,0,0,5,33,A
3,16:00,0,0,6,32,A
4,11:00,0,0,6,19,
5,13:10,1,6,4,25,
6,,,,,,M
7,8:45,1,17,4,16,
8,,,,,,C
9,14:40,1,11,1,4,A
10,12:50,1,12,2,5,
11,,,,,,M
12,,,,,,C-R
13,12:25,3,6,1,2,
14,13:15,2,13,1,2,
15,,,,,,R
16,13:30,3,27,3,8,
17,12:30,3,18,2,9,
18,13:30,3,20,2,3,
19,13:00,4,20,2,5,
20,12:20,4,11,1,3,
21,,,,,,M
22,,,,,,R-C
23,,,,,,C
24,12:50,1,2,2,4,
25,10:50,1,2,1,9,
26,12:40,1,2,1,22,
27,14:00,2,3,1,32,
28,13:00,3,12,1,32,
29,,,,,,C
30,12:00,3,28,2,21,
