date,time,ng,nf,sg,sf,remarks
1,,,,,,M
2,-9,0,0,3,5,
3,3:50,0,0,2,4,
4,,,,,,C
5,,,,,,C
6,3:50,1,4,4,20,
7,4:09,1,12,4,22,
8,,,,,,M
9,2:00,2,17,2,12,
10,,,,,,C
11,,,,,,C
12,5:00,3,24,1,2,
13,,,,,,M
14,2:36,3,48,1,10,
15,3:34,3,49,1,5,
16,3:30,2,42,1,2,
17,5:13,2,36,1,1,
18,1:57,2,38,2,10,
19,3:19,2,29,2,18,
20,2:35,2,16,2,16,
21,,,,,,R
22,2:22,1,11,1,11,
23,2:14,1,9,1,10,
24,2:25,1,7,1,12,
25,2:21,1,2,1,9,
26,6:00,1,14,4,17,
27,2:20,1,18,4,15,
28,,,,,,C
29,,,,,,R-C
30,2:25,1,31,3,13,
31,3:09,1,29,3,10,
