date,time,ng,nf,sg,sf,remarks
1,5:36,0,0,0,0,
2,2:55,0,0,0,0,
3,3:20,0,0,0,0,
4,2:44,0,0,0,0,
5,,,,,,C
6,,,,,,R-C
7,,,,,,C
8,3:10,0,0,0,0,
9,3:20,0,0,0,0,
10,2:33,0,0,0,0,
11,6:41,1,5,0,0,
12,3:10,1,8,0,0,
13,2:49,1,5,0,0,
14,,,,,,R
15,2:57,1,5,0,0,
16,2:31,1,4,1,2,
17,3:19,0,0,1,1,
18,2:15,0,0,0,0,
19,2:28,0,0,0,0,
20,3:10,0,0,0,0,
21,2:44,1,1,0,0,
22,2:10,0,0,0,0,
23,2:27,0,0,0,0,
24,,,,,,R
25,,,,,,C
26,,,,,,C
27,4:32,0,0,0,0,
28,3:02,0,0,0,0,
29,3:49,0,0,0,0,
30,3:21,0,0,0,0,
31,,,,,,C
