date,time,ng,nf,sg,sf,remarks
1,,,,,,C
2,3:05,0,0,0,0,
3,2:55,0,0,0,0,
4,2:05,0,0,1,5,
5,3:18,0,0,2,2,
6,5:19,0,0,0,0,
7,2:15,0,0,0,0,
8,2:16,0,0,0,0,
9,3:42,1,5,0,0,
10,3:11,1,9,0,0,
11,,,,,,R
12,3:41,1,10,0,0,
13,1:15,1,5,0,0,
14,1:53,1,6,1,1,
15,,,,,,R
16,2:37,0,0,1,2,
17,2:03,0,0,1,2,
18,,,,,,M
19,,,,,,C
20,,,,,,R-C
21,0:31,1,10,1,4,
22,1:33,1,8,1,5,
23,1:16,1,6,2,11,
24,,,,,,C
25,3:34,1,2,3,27,
26,0:14,0,0,2,25,
27,2:45,0,0,2,19,
28,-41,0,0,2,27,
29,1:55,0,0,2,19,
30,0:46,0,0,1,8,
