date,time,ng,nf,sg,sf,remarks
1,,,,,,C
2,2:18,1,5,2,8,
3,5:10,0,0,2,4,
4,3:13,0,0,1,2,
5,3:32,0,0,2,7,
6,2:17,0,0,2,11,
7,3:20,0,0,2,17,
8,3:42,0,0,2,11,
9,3:04,0,0,1,13,
10,4:15,0,0,1,12,
11,,,,,,C
12,,,,,,C
13,,,,,,C-R
14,,,,,,R
15,,,,,,C
16,2:26,1,16,2,8,
17,,,,,,C-R
18,,,,,,M
19,2:52,1,38,2,13,
20,3:49,1,27,1,4,
21,1:39,1,28,1,2,
22,2:19,1,31,0,0,
23,,,,,,R
24,2:05,1,43,0,0,
25,6:00,1,32,0,0,
26,0:18,2,27,0,0,
27,3:30,2,10,0,0,
28,3:29,2,15,0,0,
29,3:10,1,7,0,0,
30,-14,1,6,0,0,
31,2:14,1,3,0,0,
