date,time,ng,nf,sg,sf,remarks
1,,,,,,M
2,4:17,3,20,6,33,
3,2:57,3,18,5,28,
4,3:06,3,21,5,55,
5,2:18,2,14,5,46,
6,4:00,4,15,4,23,
7,1:53,3,14,3,9,
8,4:04,3,17,1,4,
9,3:54,1,5,1,10,
10,,,,,,R
11,5:10,2,4,2,10,
12,0:59,2,6,3,22,
13,2:51,1,4,3,24,
14,3:35,1,3,2,19,
15,3:31,1,5,3,19,
16,,,,,,R
17,3:42,0,0,3,23,
18,2:11,1,1,4,27,
19,4:26,0,0,3,18,
20,,,,,,C
21,2:20,1,2,5,24,
22,1:40,3,10,5,42,
23,1:48,3,18,5,35,
24,,,,,,C
25,1:54,4,41,1,18,
26,1:50,3,32,1,16,
27,,,,,,M
28,,,,,,R
29,3:53,6,43,1,9,
30,,,,,,C
31,2:07,4,26,2,5,
