date,time,ng,nf,sg,sf,remarks
1,0:08,2,9,8,31,
2,,,,,,R
3,2:00,1,4,4,38,
4,4:50,1,3,6,42,
5,1:19,1,2,8,52,
6,0:11,1,2,7,51,
7,0:45,0,0,6,47,
8,1:16,0,0,4,30,
9,1:42,1,1,5,41,
10,,,,,,S
11,2:45,1,4,3,20,
12,4:09,0,0,3,11,
13,,,,,,R
14,2:18,0,0,3,6,
15,0:06,1,5,2,14,
16,,,,,,C
17,,,,,,R
18,1:58,2,4,3,45,
19,0:48,0,0,4,52,
20,0:31,0,0,5,53,
21,,,,,,R
22,2:10,0,0,5,43,
23,,,,,,C-R
24,,,,,,R
25,2:13,1,2,4,17,
26,2:40,1,4,6,12,
27,,,,,,R
28,3:36,0,0,5,13,
29,,,,,,C
30,,,,,,C
31,2:52,0,0,5,15,
