date,time,ng,nf,sg,sf,remarks
1,3:32,2,23,3,6,
2,,,,,,R
3,7:06,2,15,1,1,
4,3:22,2,12,0,0,
5,3:22,2,8,1,2,
6,5:26,2,12,2,3,
7,3:38,2,22,1,2,
8,,,,,,C
9,,,,,,C
10,5:25,3,79,3,6,
11,,,,,,C
12,7:33,6,80,2,5,
13,3:04,6,69,4,11,
14,4:51,6,58,3,6,
15,7:17,7,58,2,3,
16,,,,,,C
17,,,,,,C
18,3:45,3,19,5,8,
19,3:06,3,17,4,10,
20,2:56,4,34,4,8,
21,2:22,3,30,3,14,
22,1:36,3,21,3,23,
23,2:42,3,13,3,44,
24,,,,,,M
25,3:36,3,21,3,60,
26,3:00,4,29,4,52,
27,,,,,,C
28,4:16,5,56,2,18,
29,6:32,6,68,1,10,
30,,,,,,R
31,,,,,,C
