date,time,ng,nf,sg,sf,remarks
1,5:36,2,8,7,56,
2,2:50,2,5,8,49,
3,3:40,5,15,8,47,
4,2:06,5,17,7,35,
5,3:42,4,25,5,19,
6,2:17,4,38,5,17,
7,4:03,5,56,4,12,
8,,,,,,C-R
9,2:40,5,83,5,33,naked eye=1c
10,,,,,,C
11,1:46,5,103,5,45,naked eye=1b
12,2:30,7,104,2,40,naked eye=1b
13,1:40,6,90,3,54,naked eye=2c
14,2:47,7,91,2,55,naked eye=1b
15,4:58,8,77,5,48,naked eye=1b
16,,,,,,C-R
17,,,,,,R
18,,,,,,R-C
19,,,,,,M
20,3:40,4,23,5,44,
21,,,,,,C-S
22,2:15,2,40,4,55,naked eye=2c
23,2:42,1,37,4,59,naked eye=1c
24,,,,,,S-R
25,,,,,,R
26,,,,,,M
27,0:32,4,39,6,35,
28,4:00,4,22,3,29,
