date,time,ng,nf,sg,sf,remarks
1,,,,,,R
2,3:55,1,27,1,7,
3,2:42,3,29,2,3,
4,2:14,3,41,0,0,
5,3:07,3,47,2,10,
6,2:28,3,46,2,17,
7,,,,,,S
8,2:40,4,76,1,7,
9,2:50,3,69,1,7,
10,2:20,2,48,0,0,
11,2:19,2,48,0,0,
12,2:55,3,50,0,0,
13,2:57,3,49,0,0,
14,2:44,3,28,0,0,
15,3:10,3,17,0,0,
16,1:40,2,8,1,2,
17,2:40,1,2,1,4,
18,2:18,0,0,1,9,
19,2:22,1,10,0,0,
20,4:30,1,7,0,0,
21,,,,,,R
22,5:40,1,11,1,7,
23,2:34,1,4,1,11,
24,2:30,0,0,1,10,
25,2:40,0,0,2,21,
26,3:09,2,6,3,37,
27,0:56,2,5,3,34,
28,2:35,3,18,4,35,
29,2:24,3,21,4,27,
30,2:41,2,20,3,26,
31,3:50,2,21,3,11,
