date,time,ng,nf,sg,sf,remarks
1,3:37,2,4,1,14,
2,2:21,1,2,2,18,
3,3:40,2,9,2,14,
4,,,,,,C
5,,,,,,C
6,5:30,1,3,2,5,
7,3:12,1,3,3,6,
8,,,,,,C
9,,,,,,C
10,2:50,1,2,5,23,
11,3:06,1,2,6,36,
12,3:38,1,2,4,28,
13,4:29,4,13,5,38,
14,4:00,3,12,6,26,
15,,,,,,R
16,3:10,2,6,5,27,
17,3:55,3,12,4,22,
18,,,,,,M
19,6:40,4,20,4,13,
20,,,,,,R
21,4:18,2,27,4,21,
22,,,,,,C
23,,,,,,C
24,6:40,1,32,3,25,
25,,,,,,C-R
26,,,,,,C
27,4:40,3,19,6,31,
28,4:38,3,20,6,41,
29,,,,,,C-R
30,4:14,1,8,5,46,
31,3:40,2,7,5,43,
