date,time,ng,nf,sg,sf,remarks
1,2:40,1,7,4,21,
2,4:10,1,1,3,30,
3,,,,,,M
4,2:30,2,3,2,40,
5,2:50,1,3,2,29,
6,1:15,1,6,2,44,
7,4:21,1,3,1,36,
8,3:23,1,10,1,27,
9,3:12,2,20,2,17,
10,4:10,2,28,2,5,
11,,,,,,M
12,2:37,2,35,3,8,
13,,,,,,C
14,,,,,,C
15,2:09,2,28,4,18,
16,1:01,4,37,4,10,
17,6:16,2,34,4,9,
18,,,,,,C
19,2:11,2,13,4,13,
20,5:00,2,7,4,10,
21,3:29,2,6,5,25,
22,2:59,1,6,4,22,
23,2:32,2,11,5,34,
24,5:00,2,8,6,28,
25,3:10,3,8,5,21,
26,,,,,,C
27,,,,,,M
28,,,,,,M
29,,,,,,R-C
30,5:36,4,19,4,18,
