date,time,ng,nf,sg,sf,remarks
1,3:30,2,11,0,0,
2,,,,,,C
3,3:10,1,9,0,0,
4,1:52,1,4,0,0,
5,1:42,1,3,1,1,
6,2:10,1,2,1,6,
7,2:20,1,1,1,8,
8,5:40,1,5,1,7,
9,,,,,,M
10,2:57,1,3,1,4,
11,1:46,2,5,1,15,
12,4:29,1,5,1,9,
13,,,,,,C
14,,,,,,C
15,,,,,,C
16,4:51,2,13,1,11,
17,5:36,2,14,1,11,
18,3:21,2,11,1,7,
19,3:11,2,6,1,7,
20,5:24,2,6,1,6,
21,2:25,1,3,1,6,
22,,,,,,R
23,6:30,2,6,0,0,
24,3:40,1,2,0,0,
25,2:30,1,2,0,0,
26,2:12,1,2,1,1,
27,3:01,1,2,0,0,
28,,,,,,C
29,2:46,1,12,0,0,
30,4:20,1,15,0,0,
