date,time,ng,nf,sg,sf,remarks
1,,,,,,S
2,3:03,5,14,1,2,
3,1:22,4,24,2,8,
4,3:00,4,24,2,7,
5,,,,,,C
6,3:22,5,43,3,10,
7,3:20,5,46,3,18,
8,3:20,3,46,3,28,
9,3:23,4,31,3,37,
10,3:30,3,27,3,36,肉眼黒点＝1
11,,,,,,C
12,,,,,,S
13,3:17,3,14,4,47,肉眼黒点＝1
14,3:18,5,16,3,39,肉眼黒点＝1
15,2:45,6,24,3,45,肉眼黒点＝1
16,3:02,3,21,3,22,
17,3:30,3,17,3,17,
18,3:18,4,31,3,15,
19,2:55,3,31,2,4,
20,3:14,3,36,2,3,
21,,,,,,C
22,3:30,5,30,2,3,
23,3:21,5,37,1,2,
24,3:20,5,35,1,2,
25,,,,,,C-R
26,3:30,5,32,0,0,
27,3:18,6,42,0,0,肉眼黒点＝1
28,3:33,4,27,0,0,
29,,,,,,R-S
30,,,,,,S-C
31,,,,,,C-R
