date,time,ng,nf,sg,sf,remarks
1,,,,,,S
2,3:58,2,11,1,4,
3,3:48,3,14,1,2,
4,2:29,3,23,1,4,
5,4:03,2,15,1,6,
6,4:10,2,15,2,5,
7,2:24,2,10,2,31,
8,,,,,,M
9,,,,,,M
10,2:32,2,19,1,6,
11,2:46,2,18,0,0,
12,,,,,,S
13,2:43,4,22,0,0,
14,2:33,4,23,0,0,
15,3:50,5,15,0,0,
16,3:37,3,16,0,0,
17,4:19,6,20,0,0,
18,4:38,4,23,0,0,
19,4:04,1,20,1,1,
20,1:30,3,10,1,2,
21,,,,,,R
22,2:26,2,12,1,3,
23,2:37,2,19,1,4,
24,4:32,2,12,2,10,
25,4:50,1,9,2,7,
26,3:14,1,6,2,5,
27,2:00,1,5,3,7,
28,5:00,1,3,3,20,
