date,time,ng,nf,sg,sf,remarks
1,-33,7,47,1,17,
2,,,,,,C
3,,,,,,M
4,2:48,3,40,2,40,
5,,,,,,C-R
6,,,,,,R
7,,,,,,C
8,,,,,,C
9,1:00,4,31,4,47,
10,0:14,4,37,5,44,
11,0:37,5,41,6,41,
12,,,,,,R
13,1:12,5,33,7,34,
14,-36,4,33,7,18,
15,,,,,,M
16,2:12,4,32,4,14,
17,,,,,,C
18,,,,,,C
19,3:04,5,45,4,21,
20,3:07,5,54,5,11,
21,,,,,,C
22,2:41,2,79,3,6,
23,,,,,,M
24,,,,,,C
25,,,,,,C
26,3:01,3,81,3,6,
27,2:21,3,82,3,6,
28,,,,,,M
29,0:56,5,60,3,13,
30,2:15,5,26,4,28,
31,3:23,4,16,4,31,
