date,time,ng,nf,sg,sf,remarks
1,4:10,3,21,4,55,肉眼黒点＝1
2,,,,,,M
3,3:16,1,35,3,36,肉眼黒点＝1
4,,,,,,M 肉眼黒点＝1
5,3:20,1,63,5,35,肉眼黒点＝1
6,3:21,1,60,4,22,肉眼黒点＝1
7,,,,,,M 肉眼黒点＝1
8,3:13,2,30,2,11,肉眼黒点＝1
9,3:16,2,29,1,18,
10,,,,,,C
11,,,,,,C
12,,,,,,M
13,2:04,3,16,2,8,
14,3:33,2,8,3,9,
15,0:30,3,7,3,9,
16,1:38,3,15,2,10,
17,3:11,2,22,2,15,
18,3:16,3,21,2,16,
19,5:50,2,15,2,16,
20,,,,,,C
21,,,,,,C
22,,,,,,R
23,3:16,1,21,5,42,
24,3:30,1,14,7,37,
25,,,,,,C
26,,,,,,C
27,,,,,,M
28,,,,,,M
29,3:30,5,54,7,46,
30,3:24,7,85,7,47,
31,3:24,6,77,6,28,
