date,time,ng,nf,sg,sf,remarks
1,4:20,1,48,3,21,
2,,,,,,C
3,0:43,2,43,3,25,
4,,,,,,M
5,,,,,,C
6,2:37,2,14,1,2,
7,,,,,,C-R
8,,,,,,S-R
9,2:31,5,42,4,16,
10,m1:49,4,45,3,13,
11,3:14,4,45,4,16,
12,,,,,,C
13,,,,,,R
14,3:26,5,52,4,38,
15,4:52,4,54,5,34,
16,0:18,4,66,5,32,
17,4:11,4,63,4,20,
18,,,,,,C-R
19,2:21,4,68,3,9,
20,2:39,3,54,1,3,
21,0:58,3,41,2,9,
22,,,,,,C
23,2:24,2,12,1,2,
24,2:41,3,4,1,2,
25,2:49,1,2,2,11,
26,2:49,0,0,3,22,
27,,,,,,M
28,2:09,0,0,3,20,
29,,,,,,R
30,1:49,0,0,5,23,
