date,time,ng,nf,sg,sf,remarks
1,3:00,4,8,2,6,
2,,,,,,R
3,4:05,3,5,2,19,
4,2:00,2,10,2,35,
5,,,,,,C
6,,,,,,M
7,3:14,2,38,4,23,
8,1:39,2,49,3,17,
9,4:10,3,52,5,21,
10,,,,,,C-R
11,,,,,,C
12,4:10,1,10,4,36,
13,2:13,2,9,5,44,
14,1:32,1,4,6,40,
15,3:29,1,1,6,36,
16,2:23,1,1,6,47,
17,3:10,2,8,5,37,
18,,,,,,R
19,,,,,,R
20,2:33,3,16,2,27,
21,2:11,2,6,2,20,
22,3:00,1,8,2,20,
23,,,,,,C
24,,,,,,R-C
25,4:30,3,23,1,8,
26,4:12,3,22,1,3,
27,3:59,3,38,1,3,
28,3:40,3,41,1,2,
29,4:28,4,50,1,2,
30,2:50,5,55,0,0,
