date,time,ng,nf,sg,sf,remarks
1,3:12,0,0,4,32,
2,4:08,0,0,4,42,
3,1:03,0,0,5,42,
4,,,,,,C
5,3:14,0,0,5,45,
6,5:12,0,0,3,19,
7,7:17,0,0,3,18,
8,2:50,0,0,3,16,
9,2:17,0,0,1,3,
10,,,,,,S
11,,,,,,M
12,2:02,0,0,1,1,
13,5:10,0,0,1,1,
14,3:46,0,0,0,0,
15,6:50,0,0,2,12,
16,,,,,,R-C
17,,,,,,C
18,,,,,,C
19,2:03,2,9,1,20,
20,1:38,2,7,2,20,
21,1:59,2,14,1,19,
22,4:39,2,18,1,28,
23,5:10,1,15,1,21,
24,,,,,,C
25,,,,,,C-S
26,,,,,,S
27,4:52,1,3,1,13,
28,5:01,0,0,1,22,
29,,,,,,C
30,,,,,,C
31,4:49,0,0,2,14,
